File name,File size,MIME type,Image size,Camera make,Camera model,Image timestamp,Image number,Exposure time,Aperture,Exposure bias,Flash,Flash bias,Focal length,Subject distance,ISO speed,Exposure mode,Metering mode,Macro mode,Image quality,Exif Resolution,White balance,Thumbnail,Copyright,Exif comment
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0001-jmac_DSC1459.dng,5248022 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:01:09 23:03:49,,1/400 s,F10,0 EV,No flash,,20.0 mm (35 mm equivalent: 30.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0002-dgw_005.dng,13293308 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:12:23 15:08:12,,1/25 s,F2.8,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,2000,Aperture priority,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0070-IMG_4327.dng,14400934 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:30 16:42:31,,1/60 s,F11,0 EV,No, compulsory,,44.0 mm,,200,Aperture priority,Partial,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0071-kme_490.dng,11911424 Bytes,image/tiff,4480 x 3348,Canon,Canon PowerShot G10,2008:10:12 16:02:52,,1/500 s,F7.1,0 EV,Yes, compulsory, red-eye reduction,,6.1 mm,,80,,Multi-segment,,,4480 x 3348,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0072-IMG_5048.dng,8302710 Bytes,image/tiff,3948 x 2622,Canon,Canon EOS DIGITAL REBEL XTi,2006:09:20 04:59:05,,1/200 s,F5.6,0 EV,No, compulsory,,18.0 mm,,800,Aperture priority,Multi-segment,,,3948 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0073-IMG_2593.dng,14395580 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:07:24 21:35:03,,1/40 s,F2.8,0 EV,No, compulsory,,17.0 mm,,1600,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0074-WP_CRW_0343.dng,7229096 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS 10D,2005:05:06 23:41:00,,1/500 s,F16,0 EV,No flash,,17.0 mm,,1600,Auto,Multi-segment,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0075-jn_20080814_New_York_City_042.dng,6934912 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 30D,2008:08:13 13:31:47,,1/80 s,F8,0 EV,No, compulsory,,83.0 mm,,100,Aperture priority,Multi-segment,,,3596 x 2360,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0076-jmac_MG_5736.dng,10954742 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2006:03:06 22:43:36,,1/160 s,F9,0 EV,No, compulsory,,24.0 mm,,400,Manual,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0077-20080627_at_14h31m24__MG_0714.dng,10684546 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2008:06:27 14:31:24,,1/320 s,F20,-2 EV,No, compulsory,,84.0 mm,,800,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0078-IMG_0326.dng,8551152 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:07:04 20:49:38,,10 s,F4.5,0 EV,No, compulsory,,17.0 mm,,320,Aperture priority,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0079-IMG_4099.dng,14220964 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:23 18:04:29,,1/1000 s,F2.8,0 EV,No, compulsory,,17.0 mm,,100,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0080-kme_544.dng,16304220 Bytes,image/tiff,4480 x 3348,Canon,Canon PowerShot G10,2009:02:20 12:04:22,,1/60 s,F3.5,-1/3 EV,Yes, compulsory, red-eye reduction,,9.8 mm,,400,,Multi-segment,,,4480 x 3348,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0081-kme_106.dng,11835674 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:06:27 18:49:26,,1/250 s,F4,+1/3 EV,No, compulsory,,35.0 mm,,100,Auto,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0082-IMG_4578.dng,13456486 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:09:01 11:05:19,,1/800 s,F2.8,0 EV,No, compulsory,,17.0 mm,,100,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0083-jmac_MG_0082.dng,9449700 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2008:01:21 15:50:59,,1/200 s,F10,0 EV,No, compulsory,,24.0 mm,,200,Manual,Unknown,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0084-_MG_1610.dng,10433428 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:06:23 10:29:16,,1/60 s,F2,0 EV,No, compulsory,,50.0 mm,,640,Aperture priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0085-kme_215.dng,6792684 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2005:04:12 15:41:11,,1/250 s,F8,0 EV,No, compulsory,,20.0 mm,,100,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0086-WP_CRW_3706.dng,5412406 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS DIGITAL REBEL,2005:11:13 22:13:44,,1/60 s,F4.5,0 EV,Fired,,105.0 mm,,400,Auto,Multi-segment,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0087-kme_155.dng,8247298 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2007:03:22 15:03:36,,1/100 s,F9,+1/3 EV,No, compulsory,,20.0 mm,,100,Shutter priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0088-_DGW6376.dng,14446630 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2009:02:25 17:11:11,,1/100 s,F5,0 EV,No flash,,50.0 mm (35 mm equivalent: 50.0 mm),,1250,Auto,Multi-segment,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0089-jn_20080509_245.dng,7253542 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 30D,2008:05:09 14:32:36,,1/125 s,F7.1,0 EV,No, compulsory,,17.0 mm,,100,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0090-LS_060715_8754.dng,10515866 Bytes,image/tiff,5108 x 3349,Canon,Canon EOS-1Ds Mark II,2006:07:15 12:28:26,,1/200 s,F4,0 EV,No, compulsory,,105.0 mm,,100,Manual,Multi-segment,,,5108 x 3349,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0091-jmac_MG_4959.dng,10367112 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2006:03:03 14:01:26,,1/200 s,F22,0 EV,No, compulsory,,24.0 mm,,400,Manual,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0092-jmac_MG_7673.dng,13066826 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2006:11:24 05:22:34,,1/80 s,F5.6,0 EV,No, compulsory,,24.0 mm,,200,Manual,Partial,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0093-MB_070908_038.dng,9937708 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2007:09:08 11:11:43,,1/80 s,F18,+1/3 EV,No, compulsory,,70.0 mm,,400,Shutter priority,Spot,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0094-CRW_2714.dng,6314996 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS DIGITAL REBEL,2005:09:03 15:04:10,,1/200 s,F10,0 EV,Fired,,30.0 mm,,400,Manual,Center weighted average,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0095-IMG_9199.dng,6741988 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2007:06:30 21:11:28,,1 s,F5,0 EV,No, compulsory,,65.0 mm,,400,Manual,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0096-_DGW6249.dng,13499984 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2009:02:25 14:50:13,,1/60 s,F3.5,0 EV,Yes, compulsory, return light detected,,50.0 mm (35 mm equivalent: 50.0 mm),,250,Auto,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,DAMIANWAMPLER@GMAIL.COM
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0097-JI2E5089.dng,8421976 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2004:10:09 17:21:33,,1/80 s,F16,0 EV,No, compulsory,,195.0 mm,,400,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0098-kme_187.dng,6999366 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2007:09:02 19:19:19,,1/200 s,,+1/3 EV,No, compulsory,,,,100,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0099-kme_264.dng,6403464 Bytes,image/tiff,3032 x 2024,NIKON CORPORATION,NIKON D100,2003:09:30 13:25:24,,1/160 s,F6.3,-1/3 EV,No flash,,35.0 mm (35 mm equivalent: 52.0 mm),,200,Auto,Multi-segment,,,3032 x 2024,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0100-AlexWed07-9691.dng,7922830 Bytes,image/tiff,3948 x 2622,Canon,Canon EOS DIGITAL REBEL XTi,2007:06:16 18:22:59,,1/160 s,F5.6,0 EV,Yes, compulsory,,70.0 mm,,200,Manual,Multi-segment,,,3948 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0101-kme_610.dng,12220990 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2007:12:31 13:42:56,,1/125 s,F11,+1/3 EV,No, compulsory,,35.0 mm,,100,Shutter priority,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0102-IMG_3663-1.dng,12562266 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:03 21:11:31,,6 s,F16,0 EV,No, compulsory,,100.0 mm,,200,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0103-jmac_MG_1394.dng,11559286 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2008:08:11 20:19:26,,1/125 s,F14,0 EV,No, compulsory,,24.0 mm,,400,Manual,Multi-segment,,,4476 x 2954,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0104-dvf_003.dng,11015116 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2008:11:05 06:03:11,,1/200 s,F2.2,0 EV,No, compulsory,,24.0 mm,,1600,Shutter priority,Multi-segment,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0105-kme_439.dng,7255238 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2006:10:29 14:15:15,,1/640 s,F8,+1/3 EV,No, compulsory,,57.0 mm,,400,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0106-NKIM_120.dng,12139174 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:05:25 09:32:33,,1/2 s,F5.6,+2/3 EV,No, compulsory,,17.0 mm,,200,Aperture priority,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0107-IMG_2837.dng,14737472 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:07:26 17:39:59,,1/400 s,F2.8,0 EV,No, compulsory,,70.0 mm,,200,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0108-kme_175.dng,7348264 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2007:05:28 07:09:13,,1/30 s,F2.8,-1/3 EV,No, compulsory,,35.0 mm,,800,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0109-_DSC0022-1.dng,4784894 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2007:09:22 14:30:40,,1/125 s,F4.5,0 EV,No flash,,34.0 mm (35 mm equivalent: 51.0 mm),,720,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0110-IMG_3981.dng,13199070 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:19 17:43:43,,1/100 s,F2.8,0 EV,No, compulsory,,50.0 mm,,200,Aperture priority,Partial,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0111-IMG_4425.dng,14202710 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:30 18:16:51,,1/200 s,F2.8,0 EV,No, compulsory,,17.0 mm,,200,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0112-kme_093.dng,12745804 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:06:14 10:46:00,,1/500 s,F5.6,+1/3 EV,No, compulsory,,35.0 mm,,100,Auto,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0113-IMG_1129.dng,13563322 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:06:29 13:35:14,,1/160 s,F9,0 EV,No, compulsory,,17.0 mm,,200,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0114-KE_-0062.dng,4944188 Bytes,image/tiff,3032 x 2024,NIKON CORPORATION,NIKON D100,2002:09:13 09:10:45,,1/350 s,F10,0 EV,No flash,,70.0 mm (35 mm equivalent: 105.0 mm),,200,Auto,Multi-segment,,,3032 x 2024,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0115-DSC_0004-1.dng,4676870 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2008:08:11 12:11:16,,1/350 s,F9.5,0 EV,No flash,,50.0 mm (35 mm equivalent: 75.0 mm),,200,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0116-WP_IMG_0083.dng,13695780 Bytes,image/tiff,4104 x 3048,Canon,Canon PowerShot G9,2008:05:29 18:55:00,,1/60 s,F4.8,0 EV,No, compulsory,,44.4 mm,,200,,Multi-segment,,,4104 x 3048,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0117-kme_006.dng,8574520 Bytes,image/tiff,3900 x 2613,NIKON CORPORATION,NIKON D40X,2008:03:31 11:04:44,,1/60 s,F4,+1/3 EV,No flash,,45.0 mm (35 mm equivalent: 67.0 mm),,800,Auto,Multi-segment,,,3900 x 2613,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0118-20051223_103622__MG_0617.dng,10321296 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2005:12:23 10:36:22,,3 s,F22,0 EV,No, compulsory,,184.0 mm,,100,Manual,Spot,,,4476 x 2954,Manual,None,Copyright 2007 by Eric Chan,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0119-kme_120.dng,8844210 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2005:08:18 19:50:53,,1/250 s,F8,0 EV,No, compulsory,,20.0 mm,,100,Auto,Multi-segment,,,3596 x 2360,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0120-_MG_0300.dng,8125656 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2005:03:17 10:41:46,,1/1000 s,F8,0 EV,No, compulsory,,300.0 mm,,400,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0121-jmac_MG_7813.dng,11120922 Bytes,image/tiff,4476 x 2954,Canon,Canon EOS 5D,2006:11:24 07:59:44,,1/125 s,F5,0 EV,No, compulsory,,24.0 mm,,200,Manual,Partial,,,4476 x 2954,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0122-NKIM_MG_8181.dng,9808648 Bytes,image/tiff,3944 x 2622,Canon,Canon EOS 40D,2008:11:11 09:15:24,,1/320 s,F8,0 EV,No, compulsory,,17.0 mm,,100,Manual,Multi-segment,,,3944 x 2622,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0123-JI2E4140.dng,8272694 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2004:09:14 03:52:34,,1/1000 s,F20,0 EV,No, compulsory,,28.0 mm,,1600,Auto,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0124-jmac_DSC3133.dng,4952832 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:02:13 08:24:03,,1/6 s,F2.8,0 EV,No flash,,24.0 mm (35 mm equivalent: 36.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0125-kme_314.dng,4525454 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70,2004:01:21 12:46:00,,1/3 s,F4,+1/3 EV,No flash,,18.0 mm (35 mm equivalent: 27.0 mm),,200,Auto,Multi-segment,,,3040 x 2014,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0126-DSC_0025.dng,4458290 Bytes,image/tiff,3040 x 2014,NIKON CORPORATION,NIKON D70s,2008:08:25 14:20:38,,1/125 s,F4,0 EV,No flash,,50.0 mm (35 mm equivalent: 75.0 mm),,220,Aperture priority,Multi-segment,,,3040 x 2014,Auto,None,,Copyright(C) Vladimir Bychkovsky
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0127-kme_578.dng,5798882 Bytes,image/tiff,3032 x 2024,NIKON CORPORATION,NIKON D100,2003:11:02 11:40:27,,1/320 s,F9,-2/3 EV,No flash,,25.0 mm (35 mm equivalent: 37.0 mm),,200,Auto,Multi-segment,,,3032 x 2024,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0128-IMG_0793.dng,14173324 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:10 09:51:55,,1/200 s,F4,0 EV,No, compulsory,,100.0 mm,,100,Auto,Multi-segment,,,4312 x 2876,Auto,None,Lior Shapira,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0129-kme_532.dng,13209686 Bytes,image/tiff,4104 x 3048,Canon,Canon PowerShot G9,2008:08:02 19:59:01,,1/40 s,F8,0 EV,No, compulsory,,12.7 mm,,100,,Multi-segment,,,4104 x 3048,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0130-kme_494.dng,12949568 Bytes,image/tiff,4104 x 3048,Canon,Canon PowerShot G9,2007:10:05 15:33:02,,1/200 s,F4,0 EV,No, compulsory,,22.0 mm,,100,,Multi-segment,,,4104 x 3048,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0131-050801_142414__I2E5524.dng,7708514 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2005:08:01 14:24:15,,1/640 s,F9,0 EV,No, compulsory,,24.0 mm,,250,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0132-tc_DSC2376.dng,12574984 Bytes,image/tiff,4320 x 2868,NIKON CORPORATION,NIKON D300,2008:12:19 09:43:59,,1/125 s,F5.6,0 EV,No flash,,105.0 mm (35 mm equivalent: 157.0 mm),,400,Manual,Multi-segment,,,4320 x 2868,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0133-050724_185320__I2E5160.dng,6793932 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS-1D Mark II,2005:07:24 18:53:20,,1/50 s,F2.8,0 EV,No, compulsory,,70.0 mm,,640,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0134-LS051025_day_2_LL003.dng,11203898 Bytes,image/tiff,5108 x 3349,Canon,Canon EOS-1Ds Mark II,2005:10:26 08:33:15,,1/10 s,F3.5,0 EV,No, compulsory,,70.0 mm,,200,Manual,Multi-segment,,,5108 x 3349,Manual,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0135-IMG_2595.dng,13483436 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:07:24 21:37:45,,1/4 s,F5,0 EV,No, compulsory,,55.0 mm,,100,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0136-CRW_0157.dng,5944888 Bytes,image/tiff,3152 x 2068,Canon,Canon EOS 10D,2003:11:02 15:57:18,,1/250 s,F5,0 EV,No flash,,210.0 mm,,400,Auto,Multi-segment,,,3152 x 2068,,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0137-IMG_4565.dng,14313422 Bytes,image/tiff,4312 x 2876,Canon,Canon EOS DIGITAL REBEL XSi,2008:08:31 14:42:08,,1/200 s,F2.8,0 EV,No, compulsory,,17.0 mm,,200,Aperture priority,Multi-segment,,,4312 x 2876,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0138-_DSC2986.dng,10039088 Bytes,image/tiff,4284 x 2844,NIKON CORPORATION,NIKON D700,2008:09:07 19:15:07,,1/25 s,F11,0 EV,No flash,,20.0 mm (35 mm equivalent: 20.0 mm),,400,Manual,Center weighted average,,,4284 x 2844,Auto,None,DAMIAN WAMPLER,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0139-060526_142248__MG_8130.dng,7015750 Bytes,image/tiff,3596 x 2360,Canon,Canon EOS 20D,2006:05:26 14:22:48,,1/50 s,F2,0 EV,No, compulsory,,50.0 mm,,400,Aperture priority,Multi-segment,,,3596 x 2360,Auto,None,,
/media/icar/269f599f-6a72-48fd-b97c-941595d7b39f/Charles/RAW_DATABASE/FIVEK/a0140-jmac_DSC3242.dng,8009758 Bytes,image/tiff,3900 x 2613,NIKON CORPORATION,NIKON D40X,2008:03:03 06:34:54,,1/200 s,,+1/3 EV,No flash,,,,400,Manual,Center weighted average,,,3900 x 2613,Auto,None,,
